,Unnamed: 0,PRIMARY_KEY,STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,G04_A_A,G08_A_A,G04_A_A_READING,G04_A_A_MATHEMATICS,G04_A_M_READING,G04_A_M_MATHEMATICS,G04_A_F_READING,G04_A_F_MATHEMATICS,G04_WH_A_READING,G04_WH_A_MATHEMATICS,G04_BL_A_READING,G04_BL_A_MATHEMATICS,G04_HI_A_READING,G04_HI_A_MATHEMATICS,G04_AS_A_READING,G04_AS_A_MATHEMATICS,G04_AM_A_READING,G04_AM_A_MATHEMATICS,G04_HP_A_READING,G04_HP_A_MATHEMATICS,G04_TR_A_READING,G04_TR_A_MATHEMATICS,G08_A_A_READING,G08_A_A_MATHEMATICS,G08_A_M_READING,G08_A_M_MATHEMATICS,G08_A_F_READING,G08_A_F_MATHEMATICS,G08_WH_A_READING,G08_WH_A_MATHEMATICS,G08_BL_A_READING,G08_BL_A_MATHEMATICS,G08_HI_A_READING,G08_HI_A_MATHEMATICS,G08_AS_A_READING,G08_AS_A_MATHEMATICS,G08_AM_A_READING,G08_AM_A_MATHEMATICS,G08_HP_A_READING,G08_HP_A_MATHEMATICS,G08_TR_A_READING,G08_TR_A_MATHEMATICS,Grade 4 Math Level,Grade 8 Math Level,Grade 4 Reading Level,Grade 8 Reading Level
0,0,2003_ALABAMA,Alabama,2003,727900.0,5196054.0,567704.0,2966981.0,1661369.0,5298932.0,2817111.0,1521462.0,424662.0,432279.0,57323.0,59663.0,207.0,223.0,204.0,223.0,211.0,223.0,,,,,,,,,,,,,,,253.0,262.0,246.0,263.0,261.0,261.0,,,,,,,,,,,,,,,NAEP Basic Level,NAEP Basic Level,Under NAEP Basic Level,NAEP Basic Level
1,1,2003_ALASKA,Alaska,2003,133303.0,1425948.0,259423.0,813371.0,353154.0,1610289.0,763525.0,514052.0,55715.0,247005.0,10115.0,11140.0,212.0,233.0,205.0,235.0,218.0,231.0,,,,,,,,,,,,,,,256.0,279.0,250.0,280.0,263.0,278.0,,,,,,,,,,,,,,,NAEP Basic Level,NAEP Basic Level,NAEP Basic Level,NAEP Basic Level
2,2,2003_ARIZONA,Arizona,2003,875111.0,6529894.0,740579.0,2912629.0,2876686.0,6210287.0,2810907.0,1964229.0,303924.0,864642.0,76207.0,76376.0,209.0,229.0,206.0,231.0,212.0,227.0,,,,,,,,,,,,,,,255.0,271.0,251.0,271.0,260.0,271.0,,,,,,,,,,,,,,,NAEP Basic Level,NAEP Basic Level,NAEP Basic Level,NAEP Basic Level
3,3,2003_ARKANSAS,Arkansas,2003,450158.0,3241275.0,379947.0,2394336.0,466992.0,3242799.0,1768713.0,972598.0,170767.0,247245.0,34070.0,37004.0,214.0,229.0,209.0,228.0,218.0,230.0,,,,,,,,,,,,,,,258.0,266.0,254.0,265.0,263.0,267.0,,,,,,,,,,,,,,,NAEP Basic Level,NAEP Basic Level,NAEP Basic Level,NAEP Basic Level
4,4,2003_CALIFORNIA,California,2003,6226552.0,59815855.0,5795655.0,33617766.0,20402434.0,59749885.0,29561563.0,17030335.0,2995767.0,7341541.0,493415.0,500143.0,206.0,227.0,202.0,229.0,209.0,225.0,,,,,,,,,,,,,,,251.0,267.0,247.0,268.0,255.0,266.0,,,,,,,,,,,,,,,NAEP Basic Level,NAEP Basic Level,Under NAEP Basic Level,NAEP Basic Level
5,5,2003_COLORADO,Colorado,2003,751049.0,6297242.0,400219.0,2715219.0,3181804.0,6685029.0,3168745.0,2149761.0,236480.0,821129.0,56437.0,58897.0,224.0,235.0,220.0,237.0,227.0,233.0,,,,,,,,,,,,,,,268.0,283.0,262.0,284.0,274.0,283.0,,,,,,,,,,,,,,,NAEP Basic Level,NAEP Basic Level,NAEP Basic Level,NAEP Basic Level
6,6,2003_CONNECTICUT,Connecticut,2003,548466.0,6959891.0,351001.0,2481901.0,4126989.0,6751815.0,3721466.0,1951609.0,252325.0,539870.0,43494.0,45854.0,228.0,241.0,224.0,243.0,232.0,238.0,,,,,,,,,,,,,,,267.0,284.0,262.0,285.0,273.0,283.0,,,,,,,,,,,,,,,NAEP Basic Level,NAEP Basic Level,NAEP Basic Level,NAEP Basic Level
7,7,2003_DELAWARE,Delaware,2003,111282.0,1242436.0,91986.0,794472.0,355978.0,1317447.0,673997.0,367660.0,53399.0,171247.0,9097.0,10222.0,224.0,236.0,222.0,237.0,226.0,235.0,,,,,,,,,,,,,,,265.0,277.0,260.0,278.0,270.0,276.0,,,,,,,,,,,,,,,NAEP Basic Level,NAEP Basic Level,NAEP Basic Level,NAEP Basic Level
8,8,2003_DISTRICT_OF_COLUMBIA,District_Of_Columbia,2003,67522.0,1114061.0,152599.0,0.0,961462.0,1105963.0,473414.0,406078.0,32193.0,194278.0,5920.0,5158.0,188.0,205.0,182.0,204.0,195.0,206.0,,,,,,,,,,,,,,,239.0,243.0,231.0,242.0,245.0,244.0,,,,,,,,,,,,,,,Under NAEP Basic Level,Under NAEP Basic Level,Under NAEP Basic Level,Under NAEP Basic Level
9,9,2003_FLORIDA,Florida,2003,2536699.0,19549835.0,1956803.0,8689141.0,8903891.0,20180142.0,9622598.0,5938231.0,1225274.0,2924134.0,178109.0,205443.0,218.0,234.0,214.0,235.0,222.0,233.0,,,,,,,,,,,,,,,257.0,271.0,251.0,273.0,263.0,269.0,,,,,,,,,,,,,,,NAEP Basic Level,NAEP Basic Level,NAEP Basic Level,NAEP Basic Level
